customer_id,city,customer_segment,battery_capacity_kwh,home_charging_access,preferred_station_type,base_sessions_per_month,peak_preference_score,price_sensitivity_score,convenience_score,station_loyalty_score,baseline_avg_session_kwh,incentive_response_score
CUST00001,Lucknow,Price_Sensitive,53.2,1,Residential,11,0.62,0.914,0.187,0.342,26.1,0.826
CUST00002,Pune,Price_Sensitive,43.4,0,Residential,11,0.68,0.867,0.351,0.609,17.6,0.733
CUST00003,Delhi NCR,High_Mileage,73.7,0,Office_Commercial,21,0.558,0.624,0.701,0.903,28.5,0.474
CUST00004,Chennai,Routine_Commuter,48.4,0,Residential,9,0.794,0.678,0.666,0.619,22.4,0.576
CUST00005,Mumbai,Convenience_First,66.1,0,Residential,9,0.831,0.272,0.93,0.822,20.1,0.273
CUST00006,Lucknow,Price_Sensitive,60.7,0,Transit_Public,6,0.398,0.792,0.704,0.411,26.3,0.623
CUST00007,Jaipur,Price_Sensitive,50.3,1,Mall_Retail,12,0.627,0.785,0.411,0.687,23.1,0.659
CUST00008,Chennai,Convenience_First,64.1,1,Highway,10,0.782,0.266,0.91,0.769,25.0,0.277
CUST00009,Kolkata,Price_Sensitive,58.0,1,Residential,7,0.425,0.821,0.552,0.621,16.5,0.641
CUST00010,Bengaluru,Routine_Commuter,65.4,0,Mall_Retail,10,0.6,0.576,0.571,0.675,22.6,0.511
CUST00011,Chennai,Routine_Commuter,56.9,0,Mall_Retail,11,0.679,0.638,0.473,0.772,21.5,0.558
CUST00012,Delhi NCR,Price_Sensitive,54.0,0,Office_Commercial,7,0.756,0.796,0.326,0.579,24.2,0.711
CUST00013,Bengaluru,Price_Sensitive,57.7,0,Residential,8,0.398,0.727,0.422,0.33,25.7,0.656
CUST00014,Bengaluru,Price_Sensitive,54.4,1,Residential,6,0.966,0.861,0.332,0.209,20.2,0.823
CUST00015,Ahmedabad,Convenience_First,55.6,0,Hotel,5,0.834,0.234,0.777,0.633,23.9,0.312
CUST00016,Bengaluru,High_Mileage,61.8,0,Fleet,18,0.414,0.555,0.66,0.99,30.6,0.416
CUST00017,Chennai,Price_Sensitive,41.0,0,Transit_Public,12,0.493,0.755,0.547,0.477,17.7,0.633
CUST00018,Mumbai,Price_Sensitive,55.9,0,Office_Commercial,12,0.709,0.842,0.418,0.727,18.0,0.691
CUST00019,Chennai,Routine_Commuter,46.1,0,Highway,9,0.927,0.495,0.634,0.895,19.4,0.454
CUST00020,Bengaluru,Routine_Commuter,54.6,0,Residential,10,0.889,0.533,0.757,0.474,19.1,0.509
CUST00021,Mumbai,Convenience_First,69.0,0,Mall_Retail,8,0.701,0.253,0.821,0.767,25.1,0.28
CUST00022,Ahmedabad,Price_Sensitive,74.7,0,Hotel,10,0.528,0.712,0.494,0.587,29.6,0.607
CUST00023,Hyderabad,Convenience_First,40.7,0,Transit_Public,7,0.848,0.371,0.802,0.735,24.3,0.368
CUST00024,Delhi NCR,Routine_Commuter,72.0,1,Mall_Retail,11,0.855,0.507,0.469,0.544,40.8,0.539
CUST00025,Bengaluru,Routine_Commuter,53.0,1,Office_Commercial,14,0.676,0.568,0.887,0.602,21.7,0.462
CUST00026,Bengaluru,Routine_Commuter,63.1,1,Office_Commercial,14,0.688,0.553,0.613,0.777,26.8,0.484
CUST00027,Mumbai,Convenience_First,63.5,0,Office_Commercial,6,0.848,0.24,0.99,0.957,21.0,0.225
CUST00028,Mumbai,Routine_Commuter,46.1,0,Mall_Retail,8,0.778,0.276,0.791,0.775,19.6,0.305
CUST00029,Lucknow,Routine_Commuter,53.1,1,Office_Commercial,12,0.69,0.541,0.857,0.412,14.8,0.484
CUST00030,Delhi NCR,Routine_Commuter,46.6,1,Hotel,12,0.536,0.641,0.641,0.713,21.7,0.521
CUST00031,Hyderabad,Routine_Commuter,52.6,1,Mall_Retail,13,0.773,0.764,0.733,0.819,17.1,0.578
CUST00032,Kolkata,Convenience_First,66.6,0,Highway,8,0.826,0.367,0.92,0.982,21.7,0.303
CUST00033,Mumbai,Price_Sensitive,41.1,0,Mall_Retail,6,0.602,0.75,0.328,0.555,21.0,0.674
CUST00034,Jaipur,Price_Sensitive,35.0,0,Mall_Retail,6,0.549,0.827,0.542,0.809,10.3,0.63
CUST00035,Bengaluru,Convenience_First,62.1,1,Mall_Retail,9,0.896,0.193,0.925,0.907,25.3,0.225
CUST00036,Bengaluru,Routine_Commuter,49.1,0,Mall_Retail,13,0.84,0.372,0.665,0.898,23.9,0.371
CUST00037,Delhi NCR,High_Mileage,67.9,0,Office_Commercial,16,0.7,0.789,0.801,0.99,29.1,0.545
CUST00038,Hyderabad,Convenience_First,64.7,0,Highway,5,0.707,0.09,0.796,0.844,15.2,0.184
CUST00039,Mumbai,Routine_Commuter,56.8,1,Office_Commercial,14,0.775,0.618,0.697,0.811,24.8,0.507
CUST00040,Chandigarh,High_Mileage,50.1,0,Fleet,15,0.653,0.645,0.727,0.926,11.7,0.486
CUST00041,Ahmedabad,Convenience_First,59.4,0,Hotel,5,0.794,0.27,0.947,0.933,25.4,0.248
CUST00042,Mumbai,Routine_Commuter,68.8,1,Office_Commercial,8,0.542,0.396,0.637,0.816,23.2,0.372
CUST00043,Ahmedabad,Convenience_First,50.4,0,Residential,8,0.655,0.343,0.812,0.747,22.5,0.33
CUST00044,Bengaluru,High_Mileage,81.1,1,Highway,20,0.532,0.488,0.857,0.833,36.3,0.375
CUST00045,Hyderabad,Routine_Commuter,57.7,1,Residential,10,0.728,0.542,0.809,0.619,16.9,0.467
CUST00046,Jaipur,Routine_Commuter,47.3,1,Mall_Retail,12,0.665,0.479,0.912,0.853,18.8,0.37
CUST00047,Kochi,Routine_Commuter,75.8,0,Transit_Public,14,0.679,0.669,0.543,0.721,35.3,0.569
CUST00048,Hyderabad,Price_Sensitive,61.8,1,Office_Commercial,9,0.375,0.863,0.352,0.656,28.2,0.693
CUST00049,Bengaluru,Routine_Commuter,65.9,1,Office_Commercial,12,0.5,0.473,0.441,0.541,12.1,0.491
CUST00050,Pune,High_Mileage,67.0,0,Fleet,16,0.641,0.607,0.791,0.735,32.4,0.48
CUST00051,Hyderabad,Routine_Commuter,47.9,1,Residential,13,0.637,0.646,0.875,0.604,18.4,0.503
CUST00052,Bengaluru,Convenience_First,56.0,1,Highway,10,0.843,0.406,0.831,0.706,26.4,0.386
CUST00053,Hyderabad,Price_Sensitive,54.2,0,Transit_Public,9,0.117,0.741,0.227,0.418,23.7,0.661
CUST00054,Delhi NCR,Price_Sensitive,70.3,0,Hotel,10,0.606,0.859,0.563,0.597,25.3,0.68
CUST00055,Mumbai,Routine_Commuter,48.9,1,Office_Commercial,8,0.613,0.51,0.72,0.726,18.0,0.439
CUST00056,Delhi NCR,Routine_Commuter,56.5,0,Residential,10,0.546,0.51,0.711,0.612,29.4,0.451
CUST00057,Lucknow,High_Mileage,77.1,0,Highway,20,0.243,0.53,0.708,0.774,33.9,0.408
CUST00058,Pune,High_Mileage,65.8,0,Hotel,23,0.615,0.917,0.558,0.758,28.9,0.69
CUST00059,Pune,Price_Sensitive,56.9,1,Office_Commercial,9,0.408,0.947,0.386,0.448,26.3,0.767
CUST00060,Bengaluru,Convenience_First,66.4,1,Highway,9,0.692,0.295,0.795,0.672,35.6,0.321
